ts=17181393892, type=DATA_MAG, x=132170, y=130350, z=131652
ts=17181393904, type=DATA_MAG, x=132144, y=130399, z=131622
ts=17181393912, type=DATA_MAG, x=132155, y=130361, z=131666
ts=17181393924, type=DATA_MAG, x=132172, y=130349, z=131638
ts=17181393932, type=DATA_MAG, x=132175, y=130353, z=131643
ts=17181393940, type=DATA_MAG, x=132186, y=130346, z=131632
ts=17181393952, type=DATA_MAG, x=132171, y=130377, z=131626
ts=17181393960, type=DATA_MAG, x=132192, y=130352, z=131624
ts=17181393972, type=DATA_MAG, x=132196, y=130358, z=131629
ts=17181393980, type=DATA_MAG, x=132190, y=130359, z=131621
ts=17181393988, type=DATA_MAG, x=132187, y=130359, z=131623
ts=17181394000, type=DATA_MAG, x=132151, y=130426, z=131598
ts=17181394008, type=DATA_MAG, x=132109, y=130451, z=131610
ts=17181394020, type=DATA_MAG, x=132087, y=130464, z=131644
ts=17181394028, type=DATA_MAG, x=132172, y=130357, z=131643
ts=17181394036, type=DATA_MAG, x=132204, y=130347, z=131625
ts=17181394048, type=DATA_MAG, x=132195, y=130342, z=131632
ts=17181394056, type=DATA_MAG, x=132201, y=130364, z=131647
ts=17181394068, type=DATA_MAG, x=132198, y=130354, z=131637
ts=17181394076, type=DATA_MAG, x=132207, y=130359, z=131625
ts=17181394088, type=DATA_MAG, x=132193, y=130366, z=131612
ts=17181394096, type=DATA_MAG, x=132210, y=130346, z=131624
ts=17181394104, type=DATA_MAG, x=132215, y=130342, z=131619
ts=17181394116, type=DATA_MAG, x=132214, y=130347, z=131610
ts=17181394124, type=DATA_MAG, x=132220, y=130333, z=131608
ts=17181394136, type=DATA_MAG, x=132215, y=130352, z=131624
ts=17181394144, type=DATA_MAG, x=132226, y=130331, z=131618
ts=17181394152, type=DATA_MAG, x=132198, y=130401, z=131591
ts=17181394164, type=DATA_MAG, x=132161, y=130359, z=131644
ts=17181394172, type=DATA_MAG, x=132197, y=130362, z=131607
ts=17181394184, type=DATA_MAG, x=132194, y=130339, z=131618
ts=17181394192, type=DATA_MAG, x=132187, y=130326, z=131639
ts=17181394200, type=DATA_MAG, x=132203, y=130330, z=131629
ts=17181394212, type=DATA_MAG, x=132194, y=130353, z=131631
ts=17181394220, type=DATA_MAG, x=132201, y=130338, z=131627
ts=17181394232, type=DATA_MAG, x=132195, y=130346, z=131632
ts=17181394240, type=DATA_MAG, x=132199, y=130351, z=131635
ts=17181394248, type=DATA_MAG, x=132209, y=130337, z=131643
ts=17181394260, type=DATA_MAG, x=132220, y=130345, z=131630
ts=17181394268, type=DATA_MAG, x=132205, y=130334, z=131634
ts=17181394280, type=DATA_MAG, x=132209, y=130362, z=131612
ts=17181394288, type=DATA_MAG, x=132204, y=130351, z=131638
ts=17181394296, type=DATA_MAG, x=132216, y=130342, z=131614
ts=17181394308, type=DATA_MAG, x=132215, y=130335, z=131628
ts=17181394316, type=DATA_MAG, x=132221, y=130354, z=131609
ts=17181394328, type=DATA_MAG, x=132218, y=130351, z=131628
ts=17181394336, type=DATA_MAG, x=132226, y=130347, z=131630
ts=17181394344, type=DATA_MAG, x=132224, y=130343, z=131623
ts=17181394356, type=DATA_MAG, x=132223, y=130348, z=131629
ts=17181394364, type=DATA_MAG, x=132208, y=130375, z=131601
ts=17181394376, type=DATA_MAG, x=132225, y=130362, z=131616
ts=17181394384, type=DATA_MAG, x=132213, y=130350, z=131619
ts=17181394392, type=DATA_MAG, x=132218, y=130349, z=131628
ts=17181394404, type=DATA_MAG, x=132225, y=130351, z=131618
ts=17181394412, type=DATA_MAG, x=132220, y=130353, z=131628
ts=17181394424, type=DATA_MAG, x=132220, y=130334, z=131611
ts=17181394432, type=DATA_MAG, x=132219, y=130361, z=131630
ts=17181394440, type=DATA_MAG, x=132216, y=130351, z=131633
ts=17181394452, type=DATA_MAG, x=132215, y=130354, z=131619
ts=17181394460, type=DATA_MAG, x=132224, y=130348, z=131629
ts=17181394472, type=DATA_MAG, x=132213, y=130349, z=131625
ts=17181394480, type=DATA_MAG, x=132215, y=130359, z=131620
ts=17181394488, type=DATA_MAG, x=132210, y=130350, z=131637
