ts=17187243712, type=DATA_MAG, x=136294, y=126268, z=128143
ts=17187243720, type=DATA_MAG, x=136310, y=126258, z=128157
ts=17187243732, type=DATA_MAG, x=136284, y=126254, z=128173
ts=17187243740, type=DATA_MAG, x=136312, y=126238, z=128184
ts=17187243752, type=DATA_MAG, x=136289, y=126226, z=128192
ts=17187243760, type=DATA_MAG, x=136308, y=126217, z=128193
ts=17187243768, type=DATA_MAG, x=136296, y=126203, z=128198
ts=17187243780, type=DATA_MAG, x=136304, y=126184, z=128224
ts=17187243788, type=DATA_MAG, x=136307, y=126171, z=128205
ts=17187243800, type=DATA_MAG, x=136315, y=126155, z=128243
ts=17187243808, type=DATA_MAG, x=136312, y=126141, z=128240
ts=17187243816, type=DATA_MAG, x=136311, y=126136, z=128274
ts=17187243828, type=DATA_MAG, x=136310, y=126116, z=128266
ts=17187243836, type=DATA_MAG, x=136245, y=126179, z=128296
ts=17187243848, type=DATA_MAG, x=136287, y=126093, z=128310
ts=17187243856, type=DATA_MAG, x=136270, y=126099, z=128333
ts=17187243864, type=DATA_MAG, x=136293, y=126059, z=128320
ts=17187243876, type=DATA_MAG, x=136294, y=126032, z=128351
ts=17187243884, type=DATA_MAG, x=136299, y=126030, z=128351
ts=17187243896, type=DATA_MAG, x=136298, y=126009, z=128374
ts=17187243904, type=DATA_MAG, x=136305, y=126000, z=128376
ts=17187243912, type=DATA_MAG, x=136296, y=125988, z=128393
ts=17187243924, type=DATA_MAG, x=136309, y=125969, z=128394
ts=17187243932, type=DATA_MAG, x=136325, y=125954, z=128422
ts=17187243944, type=DATA_MAG, x=136331, y=125952, z=128435
ts=17187243952, type=DATA_MAG, x=136321, y=125934, z=128440
ts=17187243964, type=DATA_MAG, x=136333, y=125931, z=128456
ts=17187243972, type=DATA_MAG, x=136323, y=125910, z=128482
ts=17187243980, type=DATA_MAG, x=136340, y=125893, z=128495
ts=17187243992, type=DATA_MAG, x=136332, y=125876, z=128502
ts=17187244000, type=DATA_MAG, x=136339, y=125880, z=128512
ts=17187244012, type=DATA_MAG, x=136336, y=125857, z=128538
ts=17187244020, type=DATA_MAG, x=136346, y=125835, z=128565
ts=17187244028, type=DATA_MAG, x=136345, y=125825, z=128555
ts=17187244040, type=DATA_MAG, x=136345, y=125825, z=128595
ts=17187244048, type=DATA_MAG, x=136333, y=125795, z=128602
ts=17187244060, type=DATA_MAG, x=136344, y=125775, z=128630
ts=17187244068, type=DATA_MAG, x=136346, y=125764, z=128651
ts=17187244076, type=DATA_MAG, x=136349, y=125764, z=128676
ts=17187244088, type=DATA_MAG, x=136342, y=125742, z=128668
ts=17187244096, type=DATA_MAG, x=136354, y=125724, z=128695
ts=17187244108, type=DATA_MAG, x=136358, y=125713, z=128709
ts=17187244116, type=DATA_MAG, x=136357, y=125698, z=128740
ts=17187244124, type=DATA_MAG, x=136359, y=125692, z=128747
ts=17187244136, type=DATA_MAG, x=136356, y=125669, z=128783
ts=17187244144, type=DATA_MAG, x=136361, y=125664, z=128785
ts=17187244156, type=DATA_MAG, x=136359, y=125648, z=128809
ts=17187244164, type=DATA_MAG, x=136371, y=125646, z=128822
ts=17187244172, type=DATA_MAG, x=136357, y=125627, z=128848
ts=17187244184, type=DATA_MAG, x=136370, y=125614, z=128864
ts=17187244192, type=DATA_MAG, x=136366, y=125598, z=128886
ts=17187244204, type=DATA_MAG, x=136354, y=125619, z=128928
ts=17187244212, type=DATA_MAG, x=136368, y=125586, z=128916
ts=17187244220, type=DATA_MAG, x=136384, y=125582, z=128941
ts=17187244232, type=DATA_MAG, x=136373, y=125551, z=128952
ts=17187244240, type=DATA_MAG, x=136376, y=125555, z=128982
